temperature_c,humidity_percent
21.4,65.5
21.4,65.5
21.4,65.4
21.4,65.4
21.4,65.2
21.4,65.6
21.4,65.4
21.4,65.4
21.4,65.5
21.4,65.4
21.4,65.4
21.4,65.2
21.4,65.4
21.4,65.4
21.4,65.2
21.4,65.4
21.4,65.4
21.4,65.5
21.4,65.4
21.4,65.7
21.4,65.4
21.4,65.5
21.4,65.6
21.4,65.4
21.4,65.4
21.4,65.6
21.4,65.7
21.4,65.4
21.4,65.8
21.4,65.7
21.4,65.5
21.4,65.4
21.4,65.8
21.4,65.4
21.4,65.5
21.4,65.6
21.4,65.9
21.4,65.4
21.4,65.5
21.4,65.5
21.4,65.5
21.4,65.5
21.4,65.8
21.4,65.4
21.4,65.5
21.4,65.5
21.4,65.5
21.4,65.4
21.4,65.9
21.4,65.9
21.4,66.1
21.4,65.4
21.4,65.9
21.4,65.3
21.4,66.0
21.4,65.3
21.4,65.3
21.4,65.3
21.4,65.7
21.4,65.7
21.4,65.2
21.4,65.2
21.4,65.6
21.4,65.7
21.4,65.2
21.4,65.7
21.4,65.3
21.4,65.9
21.4,65.8
21.4,65.3
21.4,65.5
21.4,65.9
21.4,65.4
21.4,65.9
21.5,65.4
21.4,65.9
21.4,65.4
21.4,65.9
21.4,65.9
21.4,65.4
21.5,65.5
21.5,65.9
21.5,65.9
21.5,65.4
21.4,65.4
21.5,65.3
21.4,65.9
21.5,65.8
21.5,65.4
21.5,65.8
21.4,65.4
21.4,65.3
21.5,65.9
21.5,65.3
21.5,65.9
21.5,65.9
21.5,65.5
21.5,65.4
21.5,65.9
21.5,65.4
21.5,65.4
21.5,65.9
21.5,65.5
21.5,65.9
21.5,66.0
21.5,65.9
21.5,65.4
21.5,65.4
21.5,65.4
21.5,65.4
21.5,65.4
21.5,65.4
21.5,65.3
21.5,65.4
21.5,65.4
21.5,65.3
21.5,65.9
21.5,65.4
21.5,65.4
21.5,65.3
21.5,65.8
21.5,65.3
21.5,65.3
21.5,65.3
21.5,65.7
21.5,65.2
21.5,65.2
21.5,65.2
21.5,65.2
21.5,65.1
21.5,65.2
21.5,65.1
21.5,65.5
21.5,65.7
21.5,65.3
21.5,65.3
21.5,65.2
21.5,65.3
21.5,65.4
21.5,65.8
21.5,66.0
21.6,65.4
21.6,65.4
21.6,66.0
21.6,66.0
21.6,65.4
21.6,65.4
21.6,65.4
21.6,66.0
21.6,65.9
21.6,66.0
21.6,65.4
21.6,65.3
21.6,66.0
21.6,65.9
21.6,65.4
21.6,65.3
21.6,65.9
21.6,65.3
21.6,65.3
21.6,65.3
21.6,65.2
21.6,65.3
21.6,65.2
21.6,65.3
21.6,65.9
21.7,65.3
21.6,65.3
21.6,65.2
21.6,65.2
21.6,65.2
21.6,65.2
21.6,65.2
21.6,65.6
21.6,65.1
21.6,65.0
21.6,65.0
21.6,65.6
21.6,65.6
21.6,65.6
21.6,65.7
21.6,65.1
21.6,64.9
21.6,65.0
21.6,65.5
21.6,65.4
21.6,65.3
21.6,64.9
21.6,65.0
21.6,64.9
21.6,65.1
21.6,65.5
21.6,65.1
21.6,65.0
21.6,65.6
21.6,65.7
21.6,65.0
21.6,65.7
21.6,65.7
21.6,65.1
21.6,65.2
21.6,65.3
21.6,65.3
21.6,65.7
21.6,65.2
21.6,65.2
21.6,65.3
21.6,65.3
21.6,65.2
21.6,65.2
21.6,65.3
21.6,65.2
21.6,65.8
21.6,65.2
21.7,65.8
21.6,65.2
21.6,65.2
21.6,65.1
21.6,65.7
21.6,65.2
21.6,65.1
21.7,65.7
21.7,65.7
21.6,65.7
21.7,65.7
